artist,track,play_count
BROCKHAMPTON,NO HALO,29
ScHoolboy Q,Groovy Tony _ Eddie Kane (Ft. Jadakiss),23
Yves Tumor,Noid,22
A$AP Rocky,L$D,21
Injury Reserve,OH SHIT!!!,21
Injury Reserve,What's Goodie (feat. Cakes da Killa),21
Kendrick Lamar,Money Trees (feat. Jay Rock),21
ScHoolboy Q,THat Part (Black Hippy Remix),21
Yves Tumor,Lifetime,21
Animal Collective,What Would I Want? Sky,18
Danny Brown,When It Rain,18
Injury Reserve,All This Money,18
Isaiah Rashad,R.I.P. Kevin Miller,18
Pusha T,If You Know You Know,18
Animal Collective,Graze,17
My Bloody Valentine,Soon,17
ScHoolboy Q,Dope Dealer (ft. E-40),17
Travis Scott,beibs in the trap,17
Travis Scott,The Ends,17
Travis Scott,Through the Late Night,17
Yves Tumor,Licking An Orchid,17
Animal Collective,I Think I Can,16
Avey Tare,Saturdays (Again),16
Cocteau Twins,Blue Bell Knoll,16
Danny Brown,Change Up,16
DJ SEINFELD,U Hold Me Without Touch,16
Earl Sweatshirt,Hive (feat. Vince Staples & Casey Veggies),16
Injury Reserve,S on Ya Chest,16
Joey Bada$$,Paper Trail$,16
Mura Masa,Love$ick ft. A$AP Rocky,16
Rollerskate Skinny,Swingboat Yawning,16
Yves Tumor,Economy of Freedom,16
Animal Collective,Banshee Beat,15
Animal Collective,Did You See the Words,15
Avey Tare,Hors_,15
Avey Tare,Nostalgia in Lemonade,15
Avey Tare,Our Little Chapter,15
Avey Tare,What’s the Goodside?,15
Childish Gambino,I. The Worst Guys (feat. Chance the Rapper),15
Danny Brown,"Really Doe (featuring Kendrick Lamar, Ab-Soul & Earl Sweatshirt)",15
Deerhunter,Desire Lines,15
Injury Reserve,Bad Boys 3,15
Jefre Cantu-Ledesma,Blue Nudes (I-IV),15
Kanye West,All Mine,15
Kids See Ghosts,Fire,15
Kids See Ghosts,Reborn,15
Logic,Wrist (Feat. Pusha T),15
Travis Scott,Outside,15
Alex Wiley,F.Y.I,14
Animal Collective,Bleed,14
Animal Collective,On a Highway,14
Clark,Spring But Dark,14
Danny Brown,Pneumonia,14
Future,Draco,14
Kaytranada,TRACK UNO,14
Lupe Fiasco,Body of Work (feat. Troi & Terrace Martin),14
Run the Jewels,Everybody Stay Calm,14
Skepta,Man,14
Travis Scott,Goosebumps,14
Travis Scott,Sweet Sweet,14
Yves Tumor,Faith In Nothing Except In Salvation,14
Yves Tumor,Honesty,14
Yves Tumor,Recognizing The Enemy,14
Animal Collective,Seal Eyeing,13
Animal Collective,Water Curses,13
Avey Tare,Chilly Blue,13
Avey Tare,K.C. Yours,13
Avey Tare,Remember Mayan,13
Childish Gambino,IV. Sweatpants,13
Danny Brown,Theme Song,13
Deerhunter,Helicopter,13
Kanye West,Yikes,13
Kendrick Lamar,LOVE. (ft. Zacari),13
Kids See Ghosts,Cudi Montage,13
Noname,Diddy Bop (feat. Raury & Cam O'bi),13
Panda Bear,Comfy in Nautica,13
Perfume Genius,Describe,13
Playboi Carti,R.I.P.,13
Ab-Soul,RAW (backwards) [feat. Zacari],12
Animal Collective,Blue Noses,12
Animal Collective,Cobwebs,12
Animal Collective,Grass,12
Avey Tare,Eyes on Eyes,12
Avey Tare,Taken Boy,12
Big Thief,Shark Smile,12
Big Thief,Watering,12
Boards of Canada,Music Is Math,12
Childish Gambino,I. Crawl,12
Courtney Barnett,Debbie Downer,12
Danny Brown,3 Tearz,12
Deerhunter,Earthquake,12
Deerhunter,Fountain Stairs,12
Earl Sweatshirt,Nowhere2go,12
Injury Reserve,Eeny Meeny Miney Moe,12
J.I.D,Never,12
Kanye West,I Thought About Killing You,12
Kate Bush,Hounds of Love,12
Kaytranada,GLOWED UP,12
Kelela,Frontline,12
Kendrick Lamar,DNA.,12
Migos,T-Shirt,12
Nxworries,Khadijah,12
Panda Bear,Bros,12
Panda Bear,Take Pills,12
Playboi Carti,Old Money,12
Run the Jewels,Legend Has It,12
ScHoolboy Q,By Any Means,12
Slowdive,Alison,12
Tirzah,Holding On,12
Travis Scott,R.I.P. SCREW,12
Travis Scott,STOP TRYING TO BE GOD,12
Yves Tumor,All The Love We Have Now,12
Yves Tumor,Hope In Suffering (Escaping Oblivion & Overcoming Powerlessness),12
070 Shake,Come Around,11
070 Shake,Don't Break The Silence,11
